"subject","version","assignmentId","trial","trial_type","word","value","alt","choice","rt","resp","resp2","stamp","id"
"A1KUW26JP1SB9","cs_wg_v9_real1","3KRVW3HTZNM41M0WKHPZRF3TC4LSMK","5","0","BOOKSHELF","1","5","0","4216","Bookshelf","1","2018-01-12 17:51:45","159567"
"A2VGEE0ZIZ8CBQ","cs_wg_v9_real1","3DPNQGW4LLGJAYDT70M04GQ18O464I","0","0","TRAFFIC","9","5","0","5086","traffic","9","2018-01-12 17:51:49","159568"
"A3DU63P4KYJHOO","cs_wg_v9_real1","3TPZPLC3M0D628CUMIGQ0BPCPTXP3L","7","0","LADDER","10","5","0","4075","ladder","10","2018-01-12 17:51:49","159569"
"A3HHHZF9N10QMQ","cs_wg_v9_real1","3I0BTBYZAXM4UU5YUIUQB4KHQMH0YW","2","0","MACHINE","0","5","0","2002","machine","0","2018-01-12 17:51:50","159570"
"A3696JXTRKL2FI","cs_wg_v9_real1","3UOUJI6MTDFVABR4NTM8HX1F45QXUP","10","0","FOOTBALL","1","5","1","1016","Football","1","2018-01-12 17:51:51","159571"
"A1YXQDZYCKILTT","cs_wg_v9_real1","3LKC68YZ3A4L862HH2EDG8VJDHWOWA","2","0","BASKET","0","5","1","6588","basket","0
0

0","2018-01-12 17:51:51","159572"
"A1FMUT3U8CWI0X","cs_wg_v9_real1","337RC3OW0530NWZFE0TP2P8BB3PLVG","1","0","FOOTBALL","0","5","1","3065","football","0","2018-01-12 17:51:52","159573"
"A3V4AW6DGWBHDO","cs_wg_v9_real1","33NF62TLXJ3GCVH3CB35K1K2RGDJKQ","8","0","HELICOPTER","10","5","1","5533","HELICOPTER","10","2018-01-12 17:51:52","159574"
"AFI6RY5VKOIMA","cs_wg_v9_real1","3TUI152ZZBOVSHZUZRHWCN0PW55Q1L","3","0","STRUCTURE","0","5","1","3214","structure","0","2018-01-12 17:51:53","159575"
"A1KUW26JP1SB9","cs_wg_v9_real1","3KRVW3HTZNM41M0WKHPZRF3TC4LSMK","6","0","LADDER","0","5","0","1620","Ladder","0","2018-01-12 17:51:55","159576"
"A9BFBXFNK8GR1","cs_wg_v9_real1","3WMOAN2SRBYQBW20QD94FHC0GYPVNS","1","0","FOOTBALL","0","5","1","6733","football","0","2018-01-12 17:51:57","159577"
"A3DU63P4KYJHOO","cs_wg_v9_real1","3TPZPLC3M0D628CUMIGQ0BPCPTXP3L","8","0","HELICOPTER","0","5","0","1036","helicopter","0","2018-01-12 17:51:57","159578"
"A3696JXTRKL2FI","cs_wg_v9_real1","3UOUJI6MTDFVABR4NTM8HX1F45QXUP","11","0","LADDER","0","5","1","1191","Ladder","0","2018-01-12 17:51:58","159579"
"A97R988SLWMU8","cs_wg_v9_real1","34Q075JO1XE74OUVITNHXH97J1810Z","0","0","DOORWAY","9","5","0","7993","doorway","5","2018-01-12 17:51:59","159580"
"A2LZ0TBYJ91GYQ","cs_wg_v9_real1","3WYP994K17SZ85RDW7A7K5U83P2Y6U","3","0","BASKET","1","5","1","3773","basket","1","2018-01-12 17:52:01","159581"
"A2VGEE0ZIZ8CBQ","cs_wg_v9_real1","3DPNQGW4LLGJAYDT70M04GQ18O464I","1","0","STOMACH","1","5","0","2603","stomach","1","2018-01-12 17:52:02","159582"
"A3DU63P4KYJHOO","cs_wg_v9_real1","3TPZPLC3M0D628CUMIGQ0BPCPTXP3L","9","0","FOOTBALL","10","5","1","953","football","10","2018-01-12 17:52:03","159583"
"A3V4AW6DGWBHDO","cs_wg_v9_real1","33NF62TLXJ3GCVH3CB35K1K2RGDJKQ","9","0","DOORWAY","10","5","1","2896","DOORWAY","10","2018-01-12 17:52:03","159584"
"A3696JXTRKL2FI","cs_wg_v9_real1","3UOUJI6MTDFVABR4NTM8HX1F45QXUP","12","0","COMMUNITY","10","5","1","1069","Community","10","2018-01-12 17:52:05","159585"
"AFI6RY5VKOIMA","cs_wg_v9_real1","3TUI152ZZBOVSHZUZRHWCN0PW55Q1L","4","0","BASKET","0","5","0","2305","basket","0","2018-01-12 17:52:05","159586"
"A1FMUT3U8CWI0X","cs_wg_v9_real1","337RC3OW0530NWZFE0TP2P8BB3PLVG","2","0","COMMUNITY","0","5","1","2630","community","0","2018-01-12 17:52:06","159587"
"A1KUW26JP1SB9","cs_wg_v9_real1","3KRVW3HTZNM41M0WKHPZRF3TC4LSMK","7","0","KEYBOARD","9","5","0","2148","Keyboard","9","2018-01-12 17:52:06","159588"
"A1H47GTSBAPDTW","cs_wg_v9_real1","32AT8R96GLANEU55TJGLIPKNPQOSUC","0","0","KEYBOARD","1","5","1","5391","KEYBOARD","1","2018-01-12 17:52:06","159589"
"A3HHHZF9N10QMQ","cs_wg_v9_real1","3I0BTBYZAXM4UU5YUIUQB4KHQMH0YW","3","0","HELICOPTER","9","5","1","3875","helicopter","5","2018-01-12 17:52:07","159590"
"A31YTICDM7ZMP6","cs_wg_v9_real1","3FE2ERCCZX9VOX5G5G0IOENNKKTOPF","3","0","UMBRELLA","1","5","0","3756","umbrella","1","2018-01-12 17:52:09","159591"
"A1YXQDZYCKILTT","cs_wg_v9_real1","3LKC68YZ3A4L862HH2EDG8VJDHWOWA","3","0","WEDDING","0","5","1","3749","wedding","0","2018-01-12 17:52:12","159592"
"A3696JXTRKL2FI","cs_wg_v9_real1","3UOUJI6MTDFVABR4NTM8HX1F45QXUP","13","0","UMBRELLA","0","5","1","878","Umbrella","0","2018-01-12 17:52:13","159593"
"A2ZNSEG0BWKTLK","cs_wg_v9_real1","3QUO65DNQUP8G2DCM2ZCYKAMS1LOUB","0","0","BASKET","0","5","0","3271","basket","0","2018-01-12 17:52:13","159594"
"A3V4AW6DGWBHDO","cs_wg_v9_real1","33NF62TLXJ3GCVH3CB35K1K2RGDJKQ","10","0","BASKET","1","5","1","4336","BASKET","1","2018-01-12 17:52:15","159595"
"A1FMUT3U8CWI0X","cs_wg_v9_real1","337RC3OW0530NWZFE0TP2P8BB3PLVG","3","0","DOORWAY","0","5","1","2731","doorway","0","2018-01-12 17:52:17","159596"
"A9BFBXFNK8GR1","cs_wg_v9_real1","3WMOAN2SRBYQBW20QD94FHC0GYPVNS","2","0","WEDDING","1","5","0","3124","wedding","1","2018-01-12 17:52:17","159597"
"A3DU63P4KYJHOO","cs_wg_v9_real1","3TPZPLC3M0D628CUMIGQ0BPCPTXP3L","10","0","COMMUNITY","9","5","0","8668","community","9","2018-01-12 17:52:18","159598"
"A1KUW26JP1SB9","cs_wg_v9_real1","3KRVW3HTZNM41M0WKHPZRF3TC4LSMK","8","0","LADDER","0","5","1","2562","Ladder","0","2018-01-12 17:52:18","159599"
"AFI6RY5VKOIMA","cs_wg_v9_real1","3TUI152ZZBOVSHZUZRHWCN0PW55Q1L","5","0","MACHINE","10","5","0","2766","machine","10","2018-01-12 17:52:18","159600"
"A3HHHZF9N10QMQ","cs_wg_v9_real1","3I0BTBYZAXM4UU5YUIUQB4KHQMH0YW","4","0","LADDER","1","5","0","3379","ladder","1","2018-01-12 17:52:18","159601"
"A2VGEE0ZIZ8CBQ","cs_wg_v9_real1","3DPNQGW4LLGJAYDT70M04GQ18O464I","2","0","KEYBOARD","10","5","1","2711","keyboard","10","2018-01-12 17:52:18","159602"
"A2LZ0TBYJ91GYQ","cs_wg_v9_real1","3WYP994K17SZ85RDW7A7K5U83P2Y6U","4","0","DOORWAY","9","5","0","1958","doorway","9","2018-01-12 17:52:19","159603"
"A3696JXTRKL2FI","cs_wg_v9_real1","3UOUJI6MTDFVABR4NTM8HX1F45QXUP","14","0","STRUCTURE","0","5","1","1263","Structure","0","2018-01-12 17:52:20","159604"
"A97R988SLWMU8","cs_wg_v9_real1","34Q075JO1XE74OUVITNHXH97J1810Z","1","0","BASKET","1","5","1","6419","basket","5","2018-01-12 17:52:20","159605"
"A1H47GTSBAPDTW","cs_wg_v9_real1","32AT8R96GLANEU55TJGLIPKNPQOSUC","1","0","WEDDING","10","5","1","3932","WEDDING","10","2018-01-12 17:52:22","159606"
"A2JRONMDBUJT3K","cs_wg_v9_real1","3WETL7AQWT929YUB237C25KVYTX35E","0","0","TRAFFIC","10","5","0","9801","traffic","10","2018-01-12 17:52:22","159607"
"A31YTICDM7ZMP6","cs_wg_v9_real1","3FE2ERCCZX9VOX5G5G0IOENNKKTOPF","4","0","LADDER","9","5","0","2254","ladder","9","2018-01-12 17:52:24","159608"
"A3V4AW6DGWBHDO","cs_wg_v9_real1","33NF62TLXJ3GCVH3CB35K1K2RGDJKQ","11","0","TRAFFIC","0","5","0","3433","TRAFFIC","0","2018-01-12 17:52:26","159609"
"A3696JXTRKL2FI","cs_wg_v9_real1","3UOUJI6MTDFVABR4NTM8HX1F45QXUP","15","0","LADDER","0","5","1","1287","Ladder","0","2018-01-12 17:52:27","159610"
"A1YXQDZYCKILTT","cs_wg_v9_real1","3LKC68YZ3A4L862HH2EDG8VJDHWOWA","4","0","DOORWAY","1","5","0","3928","doorway","1
1","2018-01-12 17:52:27","159611"
"A1KUW26JP1SB9","cs_wg_v9_real1","3KRVW3HTZNM41M0WKHPZRF3TC4LSMK","9","0","WEDDING","0","5","0","2059","Wedding","0","2018-01-12 17:52:28","159612"
"AFI6RY5VKOIMA","cs_wg_v9_real1","3TUI152ZZBOVSHZUZRHWCN0PW55Q1L","6","0","KEYBOARD","9","5","1","2778","keyboard","9","2018-01-12 17:52:29","159613"
"A3HHHZF9N10QMQ","cs_wg_v9_real1","3I0BTBYZAXM4UU5YUIUQB4KHQMH0YW","5","0","MACHINE","0","5","1","4634","machine","0","2018-01-12 17:52:31","159614"
"A1FMUT3U8CWI0X","cs_wg_v9_real1","337RC3OW0530NWZFE0TP2P8BB3PLVG","4","0","LADDER","10","5","1","2544","ladder","10","2018-01-12 17:52:31","159615"
"A2LZ0TBYJ91GYQ","cs_wg_v9_real1","3WYP994K17SZ85RDW7A7K5U83P2Y6U","5","0","STOMACH","9","5","0","1609","stomach","9","2018-01-12 17:52:32","159616"
"A2VGEE0ZIZ8CBQ","cs_wg_v9_real1","3DPNQGW4LLGJAYDT70M04GQ18O464I","3","0","STRUCTURE","10","5","1","2007","structure","10","2018-01-12 17:52:32","159617"
"A3696JXTRKL2FI","cs_wg_v9_real1","3UOUJI6MTDFVABR4NTM8HX1F45QXUP","16","0","BASKET","1","5","1","1129","basket","1","2018-01-12 17:52:34","159618"
"A2ZNSEG0BWKTLK","cs_wg_v9_real1","3QUO65DNQUP8G2DCM2ZCYKAMS1LOUB","1","0","BOOKSHELF","0","5","1","3370","Bookshelf","0","2018-01-12 17:52:34","159619"
"A97R988SLWMU8","cs_wg_v9_real1","34Q075JO1XE74OUVITNHXH97J1810Z","2","0","STOMACH","10","5","0","5219","stomach","5","2018-01-12 17:52:36","159620"
"A9BFBXFNK8GR1","cs_wg_v9_real1","3WMOAN2SRBYQBW20QD94FHC0GYPVNS","3","0","STRUCTURE","1","5","0","6039","structure","1","2018-01-12 17:52:36","159621"
"A3V4AW6DGWBHDO","cs_wg_v9_real1","33NF62TLXJ3GCVH3CB35K1K2RGDJKQ","12","0","KEYBOARD","0","5","1","3056","KEYBOARD","0","2018-01-12 17:52:36","159622"
"A1H47GTSBAPDTW","cs_wg_v9_real1","32AT8R96GLANEU55TJGLIPKNPQOSUC","2","0","COMMUNITY","10","5","1","2067","COMMUNITY","10","2018-01-12 17:52:36","159623"
"ASOALSPOWW0WY","cs_wg_v9_real1","34FNN24DCMA3P1RZRO02SZG87URY5E","0","0","BOOKSHELF","0","5","0","5059","Bookshelf","0","2018-01-12 17:52:40","159624"
"AFI6RY5VKOIMA","cs_wg_v9_real1","3TUI152ZZBOVSHZUZRHWCN0PW55Q1L","7","0","COMMUNITY","10","5","1","2403","community","10","2018-01-12 17:52:40","159625"
"A1KUW26JP1SB9","cs_wg_v9_real1","3KRVW3HTZNM41M0WKHPZRF3TC4LSMK","10","0","DOORWAY","1","5","1","4082","Doorway","1","2018-01-12 17:52:40","159626"
"A3696JXTRKL2FI","cs_wg_v9_real1","3UOUJI6MTDFVABR4NTM8HX1F45QXUP","17","0","TRAFFIC","10","5","1","737","Traffic","10","2018-01-12 17:52:40","159627"
"A1YXQDZYCKILTT","cs_wg_v9_real1","3LKC68YZ3A4L862HH2EDG8VJDHWOWA","5","0","FOOTBALL","1","5","0","2167","football","1","2018-01-12 17:52:40","159628"
"A1FMUT3U8CWI0X","cs_wg_v9_real1","337RC3OW0530NWZFE0TP2P8BB3PLVG","5","0","LADDER","10","5","0","1864","ladder","10","2018-01-12 17:52:41","159629"
"A2JRONMDBUJT3K","cs_wg_v9_real1","3WETL7AQWT929YUB237C25KVYTX35E","1","0","MACHINE","0","5","1","6665","machine","0","2018-01-12 17:52:41","159630"
"A3HHHZF9N10QMQ","cs_wg_v9_real1","3I0BTBYZAXM4UU5YUIUQB4KHQMH0YW","6","0","TRAFFIC","0","5","0","3019","traffic","0","2018-01-12 17:52:41","159631"
"A31YTICDM7ZMP6","cs_wg_v9_real1","3FE2ERCCZX9VOX5G5G0IOENNKKTOPF","5","0","WEDDING","9","5","0","1053","wedding","9","2018-01-12 17:52:42","159632"
"A2LZ0TBYJ91GYQ","cs_wg_v9_real1","3WYP994K17SZ85RDW7A7K5U83P2Y6U","6","0","COMMUNITY","10","5","0","1223","community","10","2018-01-12 17:52:42","159633"
"A2VGEE0ZIZ8CBQ","cs_wg_v9_real1","3DPNQGW4LLGJAYDT70M04GQ18O464I","4","0","LADDER","9","5","0","1906","ladder","9","2018-01-12 17:52:45","159634"
"A3696JXTRKL2FI","cs_wg_v9_real1","3UOUJI6MTDFVABR4NTM8HX1F45QXUP","18","0","DOORWAY","9","5","1","797","Doorway","9","2018-01-12 17:52:46","159635"
"A3V4AW6DGWBHDO","cs_wg_v9_real1","33NF62TLXJ3GCVH3CB35K1K2RGDJKQ","13","0","BASKET","1","5","1","3573","BASKET","1","2018-01-12 17:52:47","159636"
"A3DU63P4KYJHOO","cs_wg_v9_real1","3TPZPLC3M0D628CUMIGQ0BPCPTXP3L","11","0","KEYBOARD","0","5","0","26261","keyboard","5","2018-01-12 17:52:49","159637"
"AFI6RY5VKOIMA","cs_wg_v9_real1","3TUI152ZZBOVSHZUZRHWCN0PW55Q1L","8","0","MACHINE","10","5","0","1775","machine","10","2018-01-12 17:52:50","159638"
"A97R988SLWMU8","cs_wg_v9_real1","34Q075JO1XE74OUVITNHXH97J1810Z","3","0","STOMACH","10","5","0","2246","stomach","5","2018-01-12 17:52:50","159639"
"A1KUW26JP1SB9","cs_wg_v9_real1","3KRVW3HTZNM41M0WKHPZRF3TC4LSMK","11","0","STRUCTURE","1","5","0","1533","Structure","1","2018-01-12 17:52:50","159640"
"A1YXQDZYCKILTT","cs_wg_v9_real1","3LKC68YZ3A4L862HH2EDG8VJDHWOWA","6","0","TRAFFIC","9","5","1","1842","traffic","9","2018-01-12 17:52:52","159641"
"A2LZ0TBYJ91GYQ","cs_wg_v9_real1","3WYP994K17SZ85RDW7A7K5U83P2Y6U","7","0","HELICOPTER","0","5","0","1815","helicopter","0","2018-01-12 17:52:52","159642"
"A3696JXTRKL2FI","cs_wg_v9_real1","3UOUJI6MTDFVABR4NTM8HX1F45QXUP","19","0","STOMACH","10","5","1","738","Stomach","10","2018-01-12 17:52:54","159643"
"A1H47GTSBAPDTW","cs_wg_v9_real1","32AT8R96GLANEU55TJGLIPKNPQOSUC","3","0","COMMUNITY","10","5","0","2683","COMMUNTIY","10","2018-01-12 17:52:54","159644"
"A2ZNSEG0BWKTLK","cs_wg_v9_real1","3QUO65DNQUP8G2DCM2ZCYKAMS1LOUB","2","0","STOMACH","10","5","1","4163","Stomach","10","2018-01-12 17:52:55","159645"
"A1FMUT3U8CWI0X","cs_wg_v9_real1","337RC3OW0530NWZFE0TP2P8BB3PLVG","6","0","HELICOPTER","9","5","0","2497","helicopter","9","2018-01-12 17:52:56","159646"
"A3V4AW6DGWBHDO","cs_wg_v9_real1","33NF62TLXJ3GCVH3CB35K1K2RGDJKQ","14","0","KEYBOARD","0","5","1","1662","KEYBOARD","0","2018-01-12 17:52:56","159647"
"A3HHHZF9N10QMQ","cs_wg_v9_real1","3I0BTBYZAXM4UU5YUIUQB4KHQMH0YW","7","0","TRAFFIC","0","5","1","3531","traffic","0","2018-01-12 17:52:56","159648"
"A2JRONMDBUJT3K","cs_wg_v9_real1","3WETL7AQWT929YUB237C25KVYTX35E","2","0","STOMACH","0","5","0","5892","stomach","0","2018-01-12 17:52:56","159649"
"A3DU63P4KYJHOO","cs_wg_v9_real1","3TPZPLC3M0D628CUMIGQ0BPCPTXP3L","12","0","MACHINE","0","5","0","1868","machine","0","2018-01-12 17:52:57","159650"
"A2VGEE0ZIZ8CBQ","cs_wg_v9_real1","3DPNQGW4LLGJAYDT70M04GQ18O464I","5","0","COMMUNITY","0","5","0","1616","community","0","2018-01-12 17:52:58","159651"
"A31YTICDM7ZMP6","cs_wg_v9_real1","3FE2ERCCZX9VOX5G5G0IOENNKKTOPF","6","0","TRAFFIC","0","5","0","2073","traffic","0","2018-01-12 17:52:58","159652"
"ASOALSPOWW0WY","cs_wg_v9_real1","34FNN24DCMA3P1RZRO02SZG87URY5E","1","0","COMMUNITY","10","5","1","5157","Community","10","2018-01-12 17:52:59","159653"
"AFI6RY5VKOIMA","cs_wg_v9_real1","3TUI152ZZBOVSHZUZRHWCN0PW55Q1L","9","0","KEYBOARD","9","5","0","2582","keyboard","9","2018-01-12 17:53:01","159654"
"A3696JXTRKL2FI","cs_wg_v9_real1","3UOUJI6MTDFVABR4NTM8HX1F45QXUP","20","0","FOOTBALL","1","5","1","1710","Football","1","2018-01-12 17:53:02","159655"
"A9BFBXFNK8GR1","cs_wg_v9_real1","3WMOAN2SRBYQBW20QD94FHC0GYPVNS","4","0","BOOKSHELF","10","5","0","5732","bookshelf","10","2018-01-12 17:53:02","159656"
"A1KUW26JP1SB9","cs_wg_v9_real1","3KRVW3HTZNM41M0WKHPZRF3TC4LSMK","12","0","MACHINE","0","5","1","2346","Machine","0","2018-01-12 17:53:03","159657"
"A3DU63P4KYJHOO","cs_wg_v9_real1","3TPZPLC3M0D628CUMIGQ0BPCPTXP3L","13","0","HELICOPTER","0","5","0","1467","helicopter","0","2018-01-12 17:53:04","159658"
