"subject","version","assignmentId","word","word_ind","s1_value","s2_value","exposures","stamp","id"
"A2MJYP5M2JRSVZ","cs_wg_v7_pilot9","3U8YCDAGXPHVLSEC38DWYIHFLCZQ0A","POPCORN","10","11","12","0","2018-05-25 15:55:16","57423"
"A2MJYP5M2JRSVZ","cs_wg_v7_pilot9","3U8YCDAGXPHVLSEC38DWYIHFLCZQ0A","GOLDEN","11","15","23","0","2018-05-25 15:55:16","57424"
"A1NTTV6SBV1EQS","cs_wg_v7_pilot9","3RUIQRXJBBPXRRNL0WRJFGA9E4NLLP","DOGSLED","1","20","12","0","2018-05-25 15:55:24","57425"
"A1NTTV6SBV1EQS","cs_wg_v7_pilot9","3RUIQRXJBBPXRRNL0WRJFGA9E4NLLP","MAILMAN","0","18","13","0","2018-05-25 15:55:24","57426"
"A1NTTV6SBV1EQS","cs_wg_v7_pilot9","3RUIQRXJBBPXRRNL0WRJFGA9E4NLLP","LIPSTICK","3","11","9","0","2018-05-25 15:55:24","57427"
"A1NTTV6SBV1EQS","cs_wg_v7_pilot9","3RUIQRXJBBPXRRNL0WRJFGA9E4NLLP","FILMMAKER","5","15","11","0","2018-05-25 15:55:24","57428"
"A1NTTV6SBV1EQS","cs_wg_v7_pilot9","3RUIQRXJBBPXRRNL0WRJFGA9E4NLLP","RABIES","4","25","9","0","2018-05-25 15:55:24","57429"
"A1NTTV6SBV1EQS","cs_wg_v7_pilot9","3RUIQRXJBBPXRRNL0WRJFGA9E4NLLP","WEAPON","2","26","16","0","2018-05-25 15:55:24","57430"
"A1NTTV6SBV1EQS","cs_wg_v7_pilot9","3RUIQRXJBBPXRRNL0WRJFGA9E4NLLP","INFERNO","6","21","18","0","2018-05-25 15:55:24","57431"
"A1NTTV6SBV1EQS","cs_wg_v7_pilot9","3RUIQRXJBBPXRRNL0WRJFGA9E4NLLP","STEREOTYPE","7","22","25","0","2018-05-25 15:55:24","57432"
"A1NTTV6SBV1EQS","cs_wg_v7_pilot9","3RUIQRXJBBPXRRNL0WRJFGA9E4NLLP","UNHAPPY","9","19","16","0","2018-05-25 15:55:24","57433"
"A1NTTV6SBV1EQS","cs_wg_v7_pilot9","3RUIQRXJBBPXRRNL0WRJFGA9E4NLLP","SMOKER","8","12","11","0","2018-05-25 15:55:24","57434"
"A1NTTV6SBV1EQS","cs_wg_v7_pilot9","3RUIQRXJBBPXRRNL0WRJFGA9E4NLLP","GOLDEN","11","15","4","0","2018-05-25 15:55:24","57435"
