Subj,Trial,OptionID,Choice,numExposures,MFval,MBval,nPrevChosen
3,2,8,0,5,10,3,0
3,2,9,0,7,3,2,0
3,2,10,1,7,9,3,0
3,2,11,0,6,6,4,0
3,2,12,0,4,9,3,0
3,2,13,0,5,1,1,0
3,2,14,0,4,8,2,0
3,2,15,0,6,7,2,0
3,2,16,0,7,4,6,0
3,2,17,0,5,10,4,0
3,2,18,0,6,0,3,0
3,2,19,0,4,2,3,1
3,2,20,0,6,8,0,0
3,3,1,0,7,6,1,0
3,3,2,0,8,2,4,0
3,3,3,0,4,0,1,0
3,3,4,0,8,3,4,0
3,3,5,0,8,7,4,0
3,3,6,0,8,4,2,0
3,3,7,0,5,1,2,0
3,3,8,0,5,10,3,0
3,3,9,0,7,3,5,0
3,3,10,0,7,9,1,1
3,3,11,0,6,6,0,0
3,3,12,0,4,9,4,0
3,3,13,0,5,1,3,0
3,3,14,0,4,8,4,0
3,3,15,0,6,7,2,0
3,3,16,0,7,4,1,0
3,3,17,1,5,10,2,0
3,3,18,0,6,0,1,0
3,3,19,0,4,2,1,1
3,3,20,0,6,8,4,0
3,4,1,0,7,6,2,0
3,4,2,0,8,2,4,0
3,4,3,0,4,0,4,0
3,4,4,0,8,3,3,0
3,4,5,0,8,7,4,0
3,4,6,0,8,4,4,0
3,4,7,0,5,1,2,0
3,4,8,0,5,10,5,0
3,4,9,0,7,3,4,0
3,4,10,0,7,9,3,1
3,4,11,0,6,6,3,0
3,4,12,0,4,9,4,0
3,4,13,0,5,1,2,0
3,4,14,0,4,8,3,0
3,4,15,0,6,7,4,0
3,4,16,1,7,4,5,0
3,4,17,0,5,10,3,1
3,4,18,0,6,0,4,0
3,4,19,0,4,2,3,1
3,4,20,0,6,8,2,0
3,5,1,0,7,6,8,0
3,5,2,0,8,2,14,0
3,5,3,0,4,0,12,0
3,5,4,0,8,3,23,0
3,5,5,0,8,7,15,0
3,5,6,0,8,4,24,0
3,5,7,0,5,1,26,0
3,5,8,0,5,10,6,0
3,5,9,0,7,3,12,0
3,5,10,0,7,9,13,1
3,5,11,0,6,6,12,0
3,5,12,0,4,9,9,0
3,5,13,0,5,1,23,0
3,5,14,0,4,8,2,0
3,5,15,0,6,7,9,0
3,5,16,0,7,4,15,1
3,5,17,0,5,10,12,1
3,5,18,1,6,0,22,0
3,5,19,0,4,2,12,1
3,5,20,0,6,8,25,0
3,6,1,0,7,6,0,0
3,6,2,0,8,2,14,0
3,6,3,0,4,0,7,0
3,6,4,0,8,3,0,0
3,6,5,0,8,7,8,0
3,6,6,0,8,4,0,0
3,6,7,0,5,1,17,0
3,6,8,0,5,10,14,0
3,6,9,0,7,3,14,0
3,6,10,0,7,9,20,1
3,6,11,1,6,6,14,0
3,6,12,0,4,9,19,0
3,6,13,0,5,1,4,0
3,6,14,0,4,8,4,0
3,6,15,0,6,7,14,0
3,6,16,0,7,4,4,1
3,6,17,0,5,10,19,1
3,6,18,0,6,0,11,1
3,6,19,0,4,2,14,1
3,6,20,0,6,8,12,0
3,7,1,0,7,6,6,0
3,7,2,0,8,2,8,0
3,7,3,0,4,0,12,0
3,7,4,0,8,3,1,0
3,7,5,0,8,7,11,0
3,7,6,0,8,4,1,0
3,7,7,0,5,1,0,0
3,7,8,0,5,10,6,0
3,7,9,1,7,3,5,0
3,7,10,0,7,9,3,1
3,7,11,0,6,6,8,1
3,7,12,0,4,9,18,0
3,7,13,0,5,1,5,0
3,7,14,0,4,8,13,0
3,7,15,0,6,7,1,0
3,7,16,0,7,4,6,1
3,7,17,0,5,10,12,1
3,7,18,0,6,0,8,1
3,7,19,0,4,2,18,1
3,7,20,0,6,8,13,0
3,8,1,0,7,6,15,0
3,8,2,1,8,2,7,0
3,8,3,0,4,0,3,0
3,8,4,0,8,3,13,0
3,8,5,0,8,7,19,0
3,8,6,0,8,4,5,0
3,8,7,0,5,1,3,0
3,8,8,0,5,10,19,0
3,8,9,0,7,3,22,1
3,8,10,0,7,9,2,1
3,8,11,0,6,6,11,1
3,8,12,0,4,9,17,0
3,8,13,0,5,1,5,0
3,8,14,0,4,8,14,0
3,8,15,0,6,7,7,0
3,8,16,0,7,4,12,1
3,8,17,0,5,10,2,1
3,8,18,0,6,0,7,1
3,8,19,0,4,2,1,1
3,8,20,0,6,8,7,0
4,1,1,0,6,4,3,0
4,1,2,0,5,2,1,0
4,1,3,1,7,1,2,0
4,1,4,0,6,10,2,0
4,1,5,0,6,3,1,0
4,1,6,0,8,8,2,0
4,1,7,0,4,8,2,0
4,1,8,0,7,7,2,0
4,1,9,0,5,1,0,0
4,1,10,0,5,6,4,0
4,1,11,0,6,9,5,0
4,1,12,0,4,4,2,0
4,1,13,0,5,3,3,0
4,1,14,0,4,0,2,0
4,1,15,0,8,10,3,0
4,1,16,0,7,7,3,0
4,1,17,0,7,6,1,0
4,1,18,0,4,0,4,0
4,1,19,0,8,9,4,0
4,1,20,0,8,2,4,0
4,2,1,1,6,4,2,0
4,2,2,0,5,2,4,0
4,2,3,0,7,1,6,1
4,2,4,0,6,10,0,0
4,2,5,0,6,3,3,0
4,2,6,0,8,8,3,0
4,2,7,0,4,8,3,0
4,2,8,0,7,7,3,0
4,2,9,0,5,1,2,0
4,2,10,0,5,6,3,0
4,2,11,0,6,9,4,0
4,2,12,0,4,4,3,0
4,2,13,0,5,3,1,0
4,2,14,0,4,0,2,0
4,2,15,0,8,10,2,0
4,2,16,0,7,7,6,0
4,2,17,0,7,6,4,0
4,2,18,0,4,0,3,0
4,2,19,0,8,9,3,0
4,2,20,0,8,2,0,0
4,3,1,0,6,4,1,1
4,3,2,0,5,2,4,0
4,3,3,0,7,1,1,1
4,3,4,0,6,10,4,0
4,3,5,0,6,3,4,0
4,3,6,0,8,8,2,0
4,3,7,0,4,8,2,0
4,3,8,0,7,7,3,0
4,3,9,0,5,1,5,0
4,3,10,0,5,6,1,0
4,3,11,0,6,9,0,0
4,3,12,0,4,4,4,0
4,3,13,0,5,3,3,0
4,3,14,0,4,0,4,0
4,3,15,0,8,10,2,0
4,3,16,0,7,7,1,0
4,3,17,0,7,6,2,0
4,3,18,0,4,0,1,0
4,3,19,0,8,9,1,0
4,3,20,1,8,2,4,0
4,4,1,0,6,4,2,1
4,4,2,0,5,2,4,0
4,4,3,0,7,1,4,1
4,4,4,0,6,10,3,0
4,4,5,0,6,3,4,0
4,4,6,0,8,8,4,0
4,4,7,0,4,8,2,0
4,4,8,0,7,7,5,0
4,4,9,0,5,1,4,0
4,4,10,0,5,6,3,0
4,4,11,0,6,9,3,0
4,4,12,0,4,4,4,0
4,4,13,0,5,3,2,0
4,4,14,0,4,0,3,0
4,4,15,0,8,10,4,0
4,4,16,0,7,7,5,0
4,4,17,0,7,6,3,0
4,4,18,1,4,0,4,0
4,4,19,0,8,9,3,0
4,4,20,0,8,2,2,1
4,5,1,0,6,4,8,1
4,5,2,0,5,2,14,0
4,5,3,0,7,1,12,1
4,5,4,0,6,10,23,0
4,5,5,0,6,3,15,0
4,5,6,1,8,8,24,0
4,5,7,0,4,8,26,0
4,5,8,0,7,7,6,0
4,5,9,0,5,1,12,0
4,5,10,0,5,6,13,0
4,5,11,0,6,9,12,0
4,5,12,0,4,4,9,0
4,5,13,0,5,3,23,0
4,5,14,0,4,0,2,0
4,5,15,0,8,10,9,0
4,5,16,0,7,7,15,0
4,5,17,0,7,6,12,0
4,5,18,0,4,0,22,1
4,5,19,0,8,9,12,0
4,5,20,0,8,2,25,1
4,6,1,0,6,4,0,1
4,6,2,0,5,2,14,0
4,6,3,0,7,1,7,1
4,6,4,0,6,10,0,0
4,6,5,0,6,3,8,0
4,6,6,0,8,8,0,1
4,6,7,0,4,8,17,0
4,6,8,0,7,7,14,0
4,6,9,0,5,1,14,0
4,6,10,1,5,6,20,0
4,6,11,0,6,9,14,0
4,6,12,0,4,4,19,0
4,6,13,0,5,3,4,0
4,6,14,0,4,0,4,0
4,6,15,0,8,10,14,0
4,6,16,0,7,7,4,0
4,6,17,0,7,6,19,0
4,6,18,0,4,0,11,1
4,6,19,0,8,9,14,0
4,6,20,0,8,2,12,1
4,7,1,0,6,4,6,1
4,7,2,0,5,2,8,0
4,7,3,0,7,1,12,1
4,7,4,0,6,10,1,0
4,7,5,0,6,3,11,0
4,7,6,0,8,8,1,1
4,7,7,0,4,8,0,0
4,7,8,0,7,7,6,0
4,7,9,1,5,1,5,0
4,7,10,0,5,6,3,1
4,7,11,0,6,9,8,0
4,7,12,0,4,4,18,0
4,7,13,0,5,3,5,0
4,7,14,0,4,0,13,0
4,7,15,0,8,10,1,0
4,7,16,0,7,7,6,0
4,7,17,0,7,6,12,0
4,7,18,0,4,0,8,1
4,7,19,0,8,9,18,0
4,7,20,0,8,2,13,1
4,8,1,0,6,4,15,1
4,8,2,0,5,2,7,0
4,8,3,0,7,1,3,1
4,8,4,0,6,10,13,0
4,8,5,0,6,3,19,0
4,8,6,0,8,8,5,1
4,8,7,0,4,8,3,0
4,8,8,1,7,7,19,0
4,8,9,0,5,1,22,1
4,8,10,0,5,6,2,1
4,8,11,0,6,9,11,0
4,8,12,0,4,4,17,0
4,8,13,0,5,3,5,0
4,8,14,0,4,0,14,0
4,8,15,0,8,10,7,0
4,8,16,0,7,7,12,0
4,8,17,0,7,6,2,0
4,8,18,0,4,0,7,1
4,8,19,0,8,9,1,0
4,8,20,0,8,2,7,1
5,1,1,0,5,9,3,0
5,1,2,0,7,8,1,0
5,1,3,0,8,2,2,0
5,1,4,0,8,2,2,0
5,1,5,0,8,4,1,0
5,1,6,0,6,6,2,0
5,1,7,0,4,8,2,0
5,1,8,0,5,4,2,0
5,1,9,0,4,10,0,0
5,1,10,0,7,0,4,0
5,1,11,1,6,0,5,0
5,1,12,0,4,7,2,0
5,1,13,0,6,6,3,0
5,1,14,0,8,7,2,0
5,1,15,0,7,1,3,0
5,1,16,0,7,1,3,0
5,1,17,0,5,3,1,0
5,1,18,0,5,9,4,0
5,1,19,0,6,3,4,0
5,1,20,0,4,10,4,0
5,2,1,0,5,9,2,0
5,2,2,0,7,8,4,0
5,2,3,0,8,2,6,0
5,2,4,0,8,2,0,0
5,2,5,0,8,4,3,0
5,2,6,0,6,6,3,0
5,2,7,0,4,8,3,0
5,2,8,0,5,4,3,0
5,2,9,0,4,10,2,0
5,2,10,0,7,0,3,0
5,2,11,0,6,0,4,1
5,2,12,0,4,7,3,0
5,2,13,0,6,6,1,0
5,2,14,0,8,7,2,0
5,2,15,0,7,1,2,0
5,2,16,0,7,1,6,0
5,2,17,0,5,3,4,0
5,2,18,1,5,9,3,0
5,2,19,0,6,3,3,0
5,2,20,0,4,10,0,0
5,3,1,0,5,9,1,0
5,3,2,0,7,8,4,0
5,3,3,0,8,2,1,0
5,3,4,1,8,2,4,0
5,3,5,0,8,4,4,0
5,3,6,0,6,6,2,0
5,3,7,0,4,8,2,0
5,3,8,0,5,4,3,0
5,3,9,0,4,10,5,0
5,3,10,0,7,0,1,0
5,3,11,0,6,0,0,1
5,3,12,0,4,7,4,0
5,3,13,0,6,6,3,0
5,3,14,0,8,7,4,0
5,3,15,0,7,1,2,0
5,3,16,0,7,1,1,0
5,3,17,0,5,3,2,0
5,3,18,0,5,9,1,1
5,3,19,0,6,3,1,0
5,3,20,0,4,10,4,0
5,4,1,0,5,9,2,0
5,4,2,0,7,8,4,0
5,4,3,0,8,2,4,0
5,4,4,0,8,2,3,1
5,4,5,0,8,4,4,0
5,4,6,0,6,6,4,0
5,4,7,0,4,8,2,0
5,4,8,0,5,4,5,0
5,4,9,0,4,10,4,0
5,4,10,0,7,0,3,0
5,4,11,0,6,0,3,1
5,4,12,0,4,7,4,0
5,4,13,0,6,6,2,0
5,4,14,0,8,7,3,0
5,4,15,0,7,1,4,0
5,4,16,1,7,1,5,0
5,4,17,0,5,3,3,0
5,4,18,0,5,9,4,1
5,4,19,0,6,3,3,0
5,4,20,0,4,10,2,0
5,5,1,0,5,9,8,0
5,5,2,0,7,8,14,0
5,5,3,0,8,2,12,0
5,5,4,0,8,2,23,1
5,5,5,0,8,4,15,0
5,5,6,0,6,6,24,0
5,5,7,0,4,8,26,0
5,5,8,0,5,4,6,0
5,5,9,0,4,10,12,0
5,5,10,0,7,0,13,0
5,5,11,0,6,0,12,1
5,5,12,0,4,7,9,0
5,5,13,1,6,6,23,0
5,5,14,0,8,7,2,0
5,5,15,0,7,1,9,0
5,5,16,0,7,1,15,1
5,5,17,0,5,3,12,0
5,5,18,0,5,9,22,1
5,5,19,0,6,3,12,0
5,5,20,0,4,10,25,0
5,6,1,0,5,9,0,0
5,6,2,0,7,8,14,0
5,6,3,0,8,2,7,0
5,6,4,0,8,2,0,1
5,6,5,0,8,4,8,0
5,6,6,0,6,6,0,0
