"subject","version","assignmentId","trial","trial_type","word","value","alt","value2","choice","rt","resp","resp2","resp3","resp4","used_hint","stamp","id"
"A2E3LKD3ELOED6","cs_wg_rev_conf_v2_pilot1","3JRJSWSMQHM25HN4D40F6ZQ91UQ3EH","38","0","NAPKIN","8","HOCKEY","15","1","1022",,,,,"0","2018-10-04 20:25:17","263779"
"A2E3LKD3ELOED6","cs_wg_rev_conf_v2_pilot1","3JRJSWSMQHM25HN4D40F6ZQ91UQ3EH","39","0","ADULT","8","BAKER","1","0","1155",,,,,"0","2018-10-04 20:25:21","263780"
"A2E3LKD3ELOED6","cs_wg_rev_conf_v2_pilot1","3JRJSWSMQHM25HN4D40F6ZQ91UQ3EH","40","0","ADULT","8","HOCKEY","15","1","1007",,,,,"0","2018-10-04 20:25:24","263781"
"A2E3LKD3ELOED6","cs_wg_rev_conf_v2_pilot1","3JRJSWSMQHM25HN4D40F6ZQ91UQ3EH","41","0","ADULT","8","NAPKIN","8","0","1594",,,,,"0","2018-10-04 20:25:27","263782"
"A2E3LKD3ELOED6","cs_wg_rev_conf_v2_pilot1","3JRJSWSMQHM25HN4D40F6ZQ91UQ3EH","42","0","ADULT","8","NAPKIN","8","0","992",,,,,"0","2018-10-04 20:25:31","263783"
"A2E3LKD3ELOED6","cs_wg_rev_conf_v2_pilot1","3JRJSWSMQHM25HN4D40F6ZQ91UQ3EH","43","0","HOCKEY","15","TOMATO","7","0","712",,,,,"0","2018-10-04 20:25:34","263784"
"A2E3LKD3ELOED6","cs_wg_rev_conf_v2_pilot1","3JRJSWSMQHM25HN4D40F6ZQ91UQ3EH","44","0","TOMATO","7","ADULT","8","1","1368",,,,,"0","2018-10-04 20:25:37","263785"
"A2E3LKD3ELOED6","cs_wg_rev_conf_v2_pilot1","3JRJSWSMQHM25HN4D40F6ZQ91UQ3EH","45","0","BAKER","1","HOCKEY","15","1","1186",,,,,"0","2018-10-04 20:25:40","263786"
"A2E3LKD3ELOED6","cs_wg_rev_conf_v2_pilot1","3JRJSWSMQHM25HN4D40F6ZQ91UQ3EH","46","0","HOCKEY","15","BAKER","1","0","986",,,,,"0","2018-10-04 20:25:44","263787"
"A2E3LKD3ELOED6","cs_wg_rev_conf_v2_pilot1","3JRJSWSMQHM25HN4D40F6ZQ91UQ3EH","47","0","BAKER","1","TOMATO","7","1","1758",,,,,"0","2018-10-04 20:25:48","263788"
"A2E3LKD3ELOED6","cs_wg_rev_conf_v2_pilot1","3JRJSWSMQHM25HN4D40F6ZQ91UQ3EH","48","0","TOMATO","7","NAPKIN","8","1","2032",,,,,"0","2018-10-04 20:25:52","263789"
"A2E3LKD3ELOED6","cs_wg_rev_conf_v2_pilot1","3JRJSWSMQHM25HN4D40F6ZQ91UQ3EH","49","0","ADULT","8","TOMATO","7","0","1857",,,,,"0","2018-10-04 20:25:56","263790"
"A2E3LKD3ELOED6","cs_wg_rev_conf_v2_pilot1","3JRJSWSMQHM25HN4D40F6ZQ91UQ3EH","50","0","HOCKEY","15","ADULT","8","0","740",,,,,"0","2018-10-04 20:25:59","263791"
"A2E3LKD3ELOED6","cs_wg_rev_conf_v2_pilot1","3JRJSWSMQHM25HN4D40F6ZQ91UQ3EH","51","0","NAPKIN","8","BAKER","1","0","949",,,,,"0","2018-10-04 20:26:02","263792"
"A2E3LKD3ELOED6","cs_wg_rev_conf_v2_pilot1","3JRJSWSMQHM25HN4D40F6ZQ91UQ3EH","52","0","BAKER","1","NAPKIN","8","1","1883",,,,,"0","2018-10-04 20:26:06","263793"
"A2E3LKD3ELOED6","cs_wg_rev_conf_v2_pilot1","3JRJSWSMQHM25HN4D40F6ZQ91UQ3EH","53","0","TOMATO","7","HOCKEY","15","1","1182",,,,,"0","2018-10-04 20:26:10","263794"
"A2E3LKD3ELOED6","cs_wg_rev_conf_v2_pilot1","3JRJSWSMQHM25HN4D40F6ZQ91UQ3EH","54","0","BAKER","1","ADULT","8","1","1529",,,,,"0","2018-10-04 20:26:14","263795"
"A2E3LKD3ELOED6","cs_wg_rev_conf_v2_pilot1","3JRJSWSMQHM25HN4D40F6ZQ91UQ3EH","55","0","ADULT","8","BAKER","1","0","1386",,,,,"0","2018-10-04 20:26:17","263796"
"A2E3LKD3ELOED6","cs_wg_rev_conf_v2_pilot1","3JRJSWSMQHM25HN4D40F6ZQ91UQ3EH","56","0","ADULT","8","TOMATO","7","0","1241",,,,,"0","2018-10-04 20:26:21","263797"
"A2E3LKD3ELOED6","cs_wg_rev_conf_v2_pilot1","3JRJSWSMQHM25HN4D40F6ZQ91UQ3EH","57","0","HOCKEY","15","NAPKIN","8","0","1038",,,,,"0","2018-10-04 20:26:24","263798"
"A2E3LKD3ELOED6","cs_wg_rev_conf_v2_pilot1","3JRJSWSMQHM25HN4D40F6ZQ91UQ3EH","58","0","HOCKEY","15","NAPKIN","8","0","977",,,,,"0","2018-10-04 20:26:28","263799"
"A2E3LKD3ELOED6","cs_wg_rev_conf_v2_pilot1","3JRJSWSMQHM25HN4D40F6ZQ91UQ3EH","59","0","HOCKEY","15","ADULT","8","0","630",,,,,"0","2018-10-04 20:26:30","263800"
"A1W90OQ8WBLGUI","cs_wg_rev_conf_v2_pilot1","3Z3ZLGNNSIVR2KD9MVVF0GFNKXE3QT","0","0","BANANA","10","PELICAN","7","0","12192",,,,,"1","2018-10-04 20:26:35","263801"
"A1W90OQ8WBLGUI","cs_wg_rev_conf_v2_pilot1","3Z3ZLGNNSIVR2KD9MVVF0GFNKXE3QT","1","0","VOLCANO","7","ROCKET","8","1","7144",,,,,"1","2018-10-04 20:26:46","263802"
"A1W90OQ8WBLGUI","cs_wg_rev_conf_v2_pilot1","3Z3ZLGNNSIVR2KD9MVVF0GFNKXE3QT","2","0","PUMPKIN","1","ROCKET","8","1","6275",,,,,"1","2018-10-04 20:26:56","263803"
"A1W90OQ8WBLGUI","cs_wg_rev_conf_v2_pilot1","3Z3ZLGNNSIVR2KD9MVVF0GFNKXE3QT","3","0","PELICAN","7","SKUNK","8","1","6913",,,,,"1","2018-10-04 20:27:06","263804"
"A1W90OQ8WBLGUI","cs_wg_rev_conf_v2_pilot1","3Z3ZLGNNSIVR2KD9MVVF0GFNKXE3QT","4","0","AVOCADO","9","PELICAN","7","0","5848",,,,,"1","2018-10-04 20:27:16","263805"
"A1W90OQ8WBLGUI","cs_wg_rev_conf_v2_pilot1","3Z3ZLGNNSIVR2KD9MVVF0GFNKXE3QT","5","0","SKUNK","8","AVOCADO","9","1","6542",,,,,"1","2018-10-04 20:27:25","263806"
"A1W90OQ8WBLGUI","cs_wg_rev_conf_v2_pilot1","3Z3ZLGNNSIVR2KD9MVVF0GFNKXE3QT","6","0","PALACE","6","ROCKET","8","1","5622",,,,,"1","2018-10-04 20:27:33","263807"
"A1W90OQ8WBLGUI","cs_wg_rev_conf_v2_pilot1","3Z3ZLGNNSIVR2KD9MVVF0GFNKXE3QT","7","0","PELICAN","7","VOLCANO","7","1","6526",,,,,"1","2018-10-04 20:27:43","263808"
"A1W90OQ8WBLGUI","cs_wg_rev_conf_v2_pilot1","3Z3ZLGNNSIVR2KD9MVVF0GFNKXE3QT","8","0","BANANA","10","LIZARD","9","0","4910",,,,,"1","2018-10-04 20:27:50","263809"
"A1W90OQ8WBLGUI","cs_wg_rev_conf_v2_pilot1","3Z3ZLGNNSIVR2KD9MVVF0GFNKXE3QT","9","0","VOLCANO","7","AIRBAG","10","1","4575",,,,,"1","2018-10-04 20:27:58","263810"
"A1W90OQ8WBLGUI","cs_wg_rev_conf_v2_pilot1","3Z3ZLGNNSIVR2KD9MVVF0GFNKXE3QT","10","0","BANANA","10","BICYCLE","6","0","4373",,,,,"1","2018-10-04 20:28:06","263811"
"A1W90OQ8WBLGUI","cs_wg_rev_conf_v2_pilot1","3Z3ZLGNNSIVR2KD9MVVF0GFNKXE3QT","11","0","ROCKET","8","LIZARD","9","1","4330",,,,,"1","2018-10-04 20:28:13","263812"
"A1W90OQ8WBLGUI","cs_wg_rev_conf_v2_pilot1","3Z3ZLGNNSIVR2KD9MVVF0GFNKXE3QT","12","0","BICYCLE","6","HOCKEY","15","1","5112",,,,,"1","2018-10-04 20:28:21","263813"
