subject,version,assignmentId,word,word_ind,s1_value,s2_value,exposures,stamp,id
A1WTIPXQDJIMUI,cs_wg_full_v1_pilot1,3137ONMDKG63ZTZS8J7ZPTFIDCAEGD,FORGERY,5,16,22,10,6/5/18 20:19,61174
A1WTIPXQDJIMUI,cs_wg_full_v1_pilot1,3137ONMDKG63ZTZS8J7ZPTFIDCAEGD,JAVELIN,6,5,15,10,6/5/18 20:19,61176
A1WTIPXQDJIMUI,cs_wg_full_v1_pilot1,3137ONMDKG63ZTZS8J7ZPTFIDCAEGD,CHORUS,7,6,9,10,6/5/18 20:19,61177
A1WTIPXQDJIMUI,cs_wg_full_v1_pilot1,3137ONMDKG63ZTZS8J7ZPTFIDCAEGD,TENNIS,8,5,13,10,6/5/18 20:19,61175
A1WTIPXQDJIMUI,cs_wg_full_v1_pilot1,3137ONMDKG63ZTZS8J7ZPTFIDCAEGD,CHICKEN,9,3,16,10,6/5/18 20:19,61178
A1WTIPXQDJIMUI,cs_wg_full_v1_pilot1,3137ONMDKG63ZTZS8J7ZPTFIDCAEGD,HEAVEN,10,3,5,10,6/5/18 20:19,61179
A1WTIPXQDJIMUI,cs_wg_full_v1_pilot1,3137ONMDKG63ZTZS8J7ZPTFIDCAEGD,BIKINI,11,8,18,10,6/5/18 20:19,61180
A1XBKAX2AVXF2O,cs_wg_full_v1_pilot1,3FTOP5WARFPEZ5AZ8ITN1H5UB3N0JN,SUNBURN,0,5,6,10,6/5/18 20:12,61136
A1XBKAX2AVXF2O,cs_wg_full_v1_pilot1,3FTOP5WARFPEZ5AZ8ITN1H5UB3N0JN,FLIGHT,1,12,20,10,6/5/18 20:12,61138
A1XBKAX2AVXF2O,cs_wg_full_v1_pilot1,3FTOP5WARFPEZ5AZ8ITN1H5UB3N0JN,PLANET,2,8,13,10,6/5/18 20:12,61133
A1XBKAX2AVXF2O,cs_wg_full_v1_pilot1,3FTOP5WARFPEZ5AZ8ITN1H5UB3N0JN,WAFFLE,3,17,21,10,6/5/18 20:12,61135
A1XBKAX2AVXF2O,cs_wg_full_v1_pilot1,3FTOP5WARFPEZ5AZ8ITN1H5UB3N0JN,MONKEY,4,9,16,10,6/5/18 20:12,61137
A1XBKAX2AVXF2O,cs_wg_full_v1_pilot1,3FTOP5WARFPEZ5AZ8ITN1H5UB3N0JN,CELERY,5,16,22,10,6/5/18 20:12,61134
A1XBKAX2AVXF2O,cs_wg_full_v1_pilot1,3FTOP5WARFPEZ5AZ8ITN1H5UB3N0JN,BULLET,6,5,15,10,6/5/18 20:12,61139
A1XBKAX2AVXF2O,cs_wg_full_v1_pilot1,3FTOP5WARFPEZ5AZ8ITN1H5UB3N0JN,CHORUS,7,6,9,10,6/5/18 20:12,61141
A1XBKAX2AVXF2O,cs_wg_full_v1_pilot1,3FTOP5WARFPEZ5AZ8ITN1H5UB3N0JN,TENNIS,8,5,13,10,6/5/18 20:12,61140
A1XBKAX2AVXF2O,cs_wg_full_v1_pilot1,3FTOP5WARFPEZ5AZ8ITN1H5UB3N0JN,CHICKEN,9,3,16,10,6/5/18 20:12,61142
A1XBKAX2AVXF2O,cs_wg_full_v1_pilot1,3FTOP5WARFPEZ5AZ8ITN1H5UB3N0JN,HEAVEN,10,3,5,10,6/5/18 20:12,61143
A1XBKAX2AVXF2O,cs_wg_full_v1_pilot1,3FTOP5WARFPEZ5AZ8ITN1H5UB3N0JN,BAGPIPE,11,8,18,10,6/5/18 20:12,61144
A25RZ87F439TDZ,cs_wg_full_v1_pilot1,3PWWM24LHSZWBYHUW10AVFPVSTY28G,COSTUME,0,5,21,10,6/6/18 0:03,61433
A25RZ87F439TDZ,cs_wg_full_v1_pilot1,3PWWM24LHSZWBYHUW10AVFPVSTY28G,JUNGLE,1,12,7,10,6/6/18 0:03,61437
A25RZ87F439TDZ,cs_wg_full_v1_pilot1,3PWWM24LHSZWBYHUW10AVFPVSTY28G,CANNON,2,8,14,10,6/6/18 0:03,61438
A25RZ87F439TDZ,cs_wg_full_v1_pilot1,3PWWM24LHSZWBYHUW10AVFPVSTY28G,WAFFLE,3,17,6,10,6/6/18 0:03,61436
A25RZ87F439TDZ,cs_wg_full_v1_pilot1,3PWWM24LHSZWBYHUW10AVFPVSTY28G,SMOKER,4,9,11,10,6/6/18 0:03,61435
A25RZ87F439TDZ,cs_wg_full_v1_pilot1,3PWWM24LHSZWBYHUW10AVFPVSTY28G,CAMERA,5,16,5,10,6/6/18 0:03,61434
A25RZ87F439TDZ,cs_wg_full_v1_pilot1,3PWWM24LHSZWBYHUW10AVFPVSTY28G,DOLLAR,6,5,12,10,6/6/18 0:03,61441
A25RZ87F439TDZ,cs_wg_full_v1_pilot1,3PWWM24LHSZWBYHUW10AVFPVSTY28G,CHORUS,7,6,18,10,6/6/18 0:03,61440
A25RZ87F439TDZ,cs_wg_full_v1_pilot1,3PWWM24LHSZWBYHUW10AVFPVSTY28G,TENNIS,8,5,14,10,6/6/18 0:03,61443
A25RZ87F439TDZ,cs_wg_full_v1_pilot1,3PWWM24LHSZWBYHUW10AVFPVSTY28G,NICKEL,9,3,11,10,6/6/18 0:03,61442
A25RZ87F439TDZ,cs_wg_full_v1_pilot1,3PWWM24LHSZWBYHUW10AVFPVSTY28G,SILVER,10,3,22,10,6/6/18 0:03,61439
A25RZ87F439TDZ,cs_wg_full_v1_pilot1,3PWWM24LHSZWBYHUW10AVFPVSTY28G,ADDICT,11,8,10,10,6/6/18 0:03,61444
A281NYJUA83Y3Y,cs_wg_full_v1_pilot1,36NEMU28XFEX83H54MZ0O46FG2QWMI,SPATULA,0,5,6,10,6/5/18 20:03,61109
A281NYJUA83Y3Y,cs_wg_full_v1_pilot1,36NEMU28XFEX83H54MZ0O46FG2QWMI,JUNGLE,1,12,20,10,6/5/18 20:03,61110
A281NYJUA83Y3Y,cs_wg_full_v1_pilot1,36NEMU28XFEX83H54MZ0O46FG2QWMI,CHIMNEY,2,8,13,10,6/5/18 20:03,61112
A281NYJUA83Y3Y,cs_wg_full_v1_pilot1,36NEMU28XFEX83H54MZ0O46FG2QWMI,FIREFLY,3,17,21,10,6/5/18 20:03,61111
A281NYJUA83Y3Y,cs_wg_full_v1_pilot1,36NEMU28XFEX83H54MZ0O46FG2QWMI,MONKEY,4,9,16,10,6/5/18 20:03,61113
A281NYJUA83Y3Y,cs_wg_full_v1_pilot1,36NEMU28XFEX83H54MZ0O46FG2QWMI,BAKERY,5,16,22,10,6/5/18 20:03,61114
A281NYJUA83Y3Y,cs_wg_full_v1_pilot1,36NEMU28XFEX83H54MZ0O46FG2QWMI,DOLLAR,6,5,15,10,6/5/18 20:03,61116
A281NYJUA83Y3Y,cs_wg_full_v1_pilot1,36NEMU28XFEX83H54MZ0O46FG2QWMI,EARDRUM,7,6,9,10,6/5/18 20:03,61119
A281NYJUA83Y3Y,cs_wg_full_v1_pilot1,36NEMU28XFEX83H54MZ0O46FG2QWMI,BROWNIE,8,5,13,10,6/5/18 20:03,61115
A281NYJUA83Y3Y,cs_wg_full_v1_pilot1,36NEMU28XFEX83H54MZ0O46FG2QWMI,BLANKET,9,3,16,10,6/5/18 20:03,61117
A281NYJUA83Y3Y,cs_wg_full_v1_pilot1,36NEMU28XFEX83H54MZ0O46FG2QWMI,CANVAS,10,3,5,10,6/5/18 20:03,61118
A281NYJUA83Y3Y,cs_wg_full_v1_pilot1,36NEMU28XFEX83H54MZ0O46FG2QWMI,BIKINI,11,8,18,10,6/5/18 20:03,61120
A29CG3KIKPKPBB,cs_wg_full_v1_pilot1,3A0EX8ZRN8P5EH88SYRFVLG1FBMYBU,SUNBURN,0,5,21,10,6/5/18 21:14,61304
A29CG3KIKPKPBB,cs_wg_full_v1_pilot1,3A0EX8ZRN8P5EH88SYRFVLG1FBMYBU,BEGGAR,1,12,7,10,6/5/18 21:14,61302
A29CG3KIKPKPBB,cs_wg_full_v1_pilot1,3A0EX8ZRN8P5EH88SYRFVLG1FBMYBU,KIDNEY,2,8,14,10,6/5/18 21:14,61301
A29CG3KIKPKPBB,cs_wg_full_v1_pilot1,3A0EX8ZRN8P5EH88SYRFVLG1FBMYBU,GIRAFFE,3,17,6,10,6/5/18 21:14,61305
A29CG3KIKPKPBB,cs_wg_full_v1_pilot1,3A0EX8ZRN8P5EH88SYRFVLG1FBMYBU,PICKLE,4,9,11,10,6/5/18 21:14,61303
A29CG3KIKPKPBB,cs_wg_full_v1_pilot1,3A0EX8ZRN8P5EH88SYRFVLG1FBMYBU,BAKERY,5,16,5,10,6/5/18 21:14,61306
A29CG3KIKPKPBB,cs_wg_full_v1_pilot1,3A0EX8ZRN8P5EH88SYRFVLG1FBMYBU,DOLLAR,6,5,12,10,6/5/18 21:14,61310
A29CG3KIKPKPBB,cs_wg_full_v1_pilot1,3A0EX8ZRN8P5EH88SYRFVLG1FBMYBU,SPIRAL,7,6,18,10,6/5/18 21:14,61311
A29CG3KIKPKPBB,cs_wg_full_v1_pilot1,3A0EX8ZRN8P5EH88SYRFVLG1FBMYBU,SCIENCE,8,5,14,10,6/5/18 21:14,61307
A29CG3KIKPKPBB,cs_wg_full_v1_pilot1,3A0EX8ZRN8P5EH88SYRFVLG1FBMYBU,BASKET,9,3,11,10,6/5/18 21:14,61312
A29CG3KIKPKPBB,cs_wg_full_v1_pilot1,3A0EX8ZRN8P5EH88SYRFVLG1FBMYBU,CANVAS,10,3,22,10,6/5/18 21:14,61308
A29CG3KIKPKPBB,cs_wg_full_v1_pilot1,3A0EX8ZRN8P5EH88SYRFVLG1FBMYBU,CASINO,11,8,10,10,6/5/18 21:14,61309
A2LLFJURME73XE,cs_wg_full_v1_pilot1,39JEC7537U27KS591N0QZ6IPFFLVCQ,PICTURE,0,5,21,10,6/5/18 20:13,61145
A2LLFJURME73XE,cs_wg_full_v1_pilot1,39JEC7537U27KS591N0QZ6IPFFLVCQ,JUNGLE,1,12,7,10,6/5/18 20:13,61146
A2LLFJURME73XE,cs_wg_full_v1_pilot1,39JEC7537U27KS591N0QZ6IPFFLVCQ,KIDNEY,2,8,14,10,6/5/18 20:13,61147
A2LLFJURME73XE,cs_wg_full_v1_pilot1,39JEC7537U27KS591N0QZ6IPFFLVCQ,FIREFLY,3,17,6,10,6/5/18 20:13,61148
