subject,trial,choice_real_ind,s1_value,rank_value
92,8,1,0,11
93,1,3,10,12
93,2,12,0,7
93,3,11,10,11
93,4,14,0,14
93,5,2,0,14
93,6,2,0,7
93,7,11,10,7
93,8,10,0,13
94,1,11,10,11
94,2,8,10,5
94,3,8,10,1
94,4,6,0,7
94,5,3,0,11
94,6,8,10,12
94,7,5,0,12
94,8,2,10,8
95,1,13,10,7
95,2,13,10,2
95,3,4,10,5
95,4,7,10,10
95,5,4,10,6
95,6,5,10,3
95,7,9,10,13
95,8,9,10,1
96,1,10,10,13
96,2,14,10,9
96,3,7,0,13
96,4,12,10,9
96,5,1,0,9
96,6,7,0,14
96,7,9,10,13
96,8,3,10,14
97,1,13,10,7
97,2,2,10,11
97,3,13,10,12
97,4,14,0,14
97,5,12,0,13
97,6,3,10,8
97,7,4,0,14
97,8,2,10,8
98,1,11,0,11
98,2,2,10,11
98,3,9,0,7
98,4,6,0,7
98,5,6,0,10
98,6,10,10,6
98,7,4,10,14
98,8,2,10,8
99,1,10,10,13
99,2,1,10,13
99,3,13,10,12
99,4,10,10,12
99,5,2,0,14
99,6,1,10,11
99,7,4,0,14
99,8,1,10,11
100,1,11,0,11
100,2,12,0,7
100,3,7,10,13
100,4,14,10,14
100,5,8,10,12
100,6,4,10,10
100,7,5,0,12
100,8,2,10,8
101,1,7,10,9
101,2,2,10,11
101,3,5,0,4
101,4,10,0,12
101,5,12,10,13
101,6,7,10,14
101,7,12,10,11
101,8,10,0,13
102,1,3,10,12
102,2,7,0,14
102,3,1,10,14
102,4,13,10,11
102,5,12,0,13
102,6,7,0,14
102,7,9,0,13
102,8,6,10,4
103,1,1,10,14
103,2,9,10,12
103,3,12,10,10
103,4,11,0,8
103,5,12,10,13
103,6,5,0,3
103,7,12,10,11
103,8,3,10,14
104,1,6,10,8
104,2,2,10,11
104,3,1,10,14
104,4,13,0,11
104,5,8,0,12
104,6,8,0,12
104,7,9,0,13
104,8,1,10,11
105,1,10,0,13
105,2,1,10,13
105,3,13,10,12
105,4,14,0,14
105,5,1,10,9
105,6,3,10,8
105,7,9,10,13
105,8,3,10,14
106,1,1,10,14
106,2,9,10,12
106,3,4,10,5
106,4,3,10,1
106,5,12,10,13
106,6,13,0,13
106,7,5,10,12
106,8,12,10,12
107,1,3,0,12
107,2,1,0,13
107,3,6,10,9
107,4,10,0,12
107,5,9,10,1
107,6,1,0,11
107,7,9,10,13
107,8,6,10,4
108,1,7,10,9
108,2,6,10,3
108,3,3,10,3
108,4,4,10,5
108,5,4,10,6
108,6,3,10,8
108,7,3,10,9
108,8,3,10,14
109,1,1,10,14
109,2,10,0,10
109,3,5,0,4
109,4,6,10,7
109,5,2,0,14
109,6,7,10,14
109,7,11,10,7
109,8,3,0,14
110,1,11,10,11
110,2,7,10,14
110,3,7,10,13
110,4,2,10,6
110,5,12,0,13
110,6,9,10,1
110,7,5,10,12
110,8,2,10,8
111,1,7,10,9
111,2,1,10,13
111,3,12,0,10
111,4,14,10,14
111,5,2,0,14
111,6,10,0,6
111,7,6,0,1
111,8,7,10,7
112,1,10,0,13
112,2,12,0,7
112,3,9,10,7
112,4,14,10,14
112,5,8,0,12
112,6,13,10,13
112,7,11,10,7
112,8,3,10,14
113,1,4,0,5
113,2,8,10,5
113,3,12,10,10
113,4,14,10,14
113,5,1,0,9
113,6,2,10,7
113,7,13,0,4
113,8,9,10,1
114,1,8,10,10
114,2,14,10,9
114,3,1,10,14
114,4,5,10,3
114,5,11,0,5
114,6,1,10,11
114,7,7,10,8
114,8,3,0,14
115,1,10,0,13
115,2,14,10,9
115,3,6,10,9
115,4,14,10,14
115,5,6,10,10
115,6,11,10,2
115,7,4,10,14
115,8,8,10,9
116,1,10,0,13
116,2,7,0,14
116,3,7,0,13
116,4,13,10,11
116,5,2,10,14
116,6,6,0,9
116,7,4,0,14
116,8,3,10,14
117,1,1,0,14
117,2,1,0,13
117,3,12,0,10
117,4,7,10,10
117,5,3,10,11
117,6,8,0,12
117,7,7,10,8
117,8,1,0,11
118,1,8,0,10
118,2,14,0,9
118,3,7,0,13
118,4,5,10,3
118,5,2,10,14
118,6,1,10,11
118,7,6,10,1
118,8,8,0,9
119,1,5,10,2
119,2,3,10,8
119,3,9,10,7
119,4,13,10,11
119,5,8,10,12
119,6,7,0,14
119,7,11,10,7
119,8,13,10,10
120,1,10,0,13
120,2,9,10,12
120,3,1,0,14
120,4,10,0,12
120,5,6,10,10
120,6,13,10,13
120,7,9,10,13
120,8,7,0,7
