subject,trial,choice_real_ind,s1_value,rank_value
64,5,8,10,12
64,6,7,0,14
64,7,9,10,13
64,8,10,10,13
65,1,1,10,14
65,2,2,10,11
65,3,11,0,11
65,4,12,10,9
65,5,2,10,14
65,6,13,10,13
65,7,4,0,14
65,8,12,10,12
66,1,11,10,11
66,2,7,10,14
66,3,12,10,10
66,4,10,0,12
66,5,8,0,12
66,6,4,10,10
66,7,1,10,3
66,8,1,10,11
67,1,11,10,11
67,2,14,0,9
67,3,12,0,10
67,4,5,0,3
67,5,7,0,4
67,6,7,0,14
67,7,3,10,9
67,8,10,0,13
68,1,10,10,13
68,2,7,10,14
68,3,6,10,9
68,4,6,10,7
68,5,10,10,3
68,6,6,10,9
68,7,2,10,2
68,8,4,0,5
69,1,3,0,12
69,2,10,10,10
69,3,9,10,7
69,4,7,0,10
69,5,2,10,14
69,6,7,0,14
69,7,4,0,14
69,8,10,10,13
70,1,10,10,13
70,2,7,10,14
70,3,7,10,13
70,4,10,10,12
70,5,6,10,10
70,6,7,10,14
70,7,4,0,14
70,8,12,10,12
71,1,3,0,12
71,2,14,10,9
71,3,13,0,12
71,4,10,10,12
71,5,8,0,12
71,6,7,10,14
71,7,5,0,12
71,8,10,10,13
72,1,8,10,10
72,2,7,0,14
72,3,9,0,7
72,4,1,0,13
72,5,8,10,12
72,6,4,0,10
72,7,4,0,14
72,8,12,0,12
73,1,3,0,12
73,2,2,10,11
73,3,13,0,12
73,4,10,0,12
73,5,12,10,13
73,6,6,10,9
73,7,11,10,7
73,8,11,10,3
74,1,3,10,12
74,2,14,10,9
74,3,6,10,9
74,4,13,10,11
74,5,4,10,6
74,6,8,0,12
74,7,3,10,9
74,8,12,10,12
75,1,12,10,6
75,2,9,10,12
75,3,7,10,13
75,4,14,0,14
75,5,2,10,14
75,6,1,0,11
75,7,8,0,10
75,8,12,10,12
76,1,1,10,14
76,2,9,0,12
76,3,1,10,14
76,4,11,0,8
76,5,6,10,10
76,6,4,0,10
76,7,9,0,13
76,8,12,0,12
77,1,12,0,6
77,2,9,10,12
77,3,6,10,9
77,4,2,0,6
77,5,1,0,9
77,6,11,10,2
77,7,8,10,10
77,8,12,0,12
78,1,10,0,13
78,2,1,0,13
78,3,1,0,14
78,4,10,0,12
78,5,12,10,13
78,6,13,0,13
78,7,5,10,12
78,8,3,10,14
79,1,6,0,8
79,2,14,0,9
79,3,11,10,11
79,4,10,10,12
79,5,8,10,12
79,6,3,10,8
79,7,7,10,8
79,8,10,10,13
80,1,1,0,14
80,2,10,10,10
80,3,11,0,11
80,4,14,10,14
80,5,3,10,11
80,6,8,10,12
80,7,5,0,12
80,8,3,10,14
81,1,11,0,11
81,2,7,10,14
81,3,7,10,13
81,4,1,10,13
81,5,2,0,14
81,6,13,10,13
81,7,12,10,11
81,8,3,0,14
82,1,1,10,14
82,2,7,10,14
82,3,7,10,13
82,4,12,10,9
82,5,2,0,14
82,6,13,0,13
82,7,9,0,13
82,8,3,0,14
83,1,8,10,10
83,2,7,10,14
83,3,7,10,13
83,4,1,10,13
83,5,3,0,11
83,6,7,10,14
83,7,8,10,10
83,8,3,0,14
84,1,3,10,12
84,2,1,10,13
84,3,9,0,7
84,4,14,10,14
84,5,12,10,13
84,6,7,10,14
84,7,3,10,9
84,8,3,10,14
85,1,10,0,13
85,2,7,10,14
85,3,1,0,14
85,4,1,0,13
85,5,2,10,14
85,6,13,0,13
85,7,4,10,14
85,8,10,0,13
86,1,7,0,9
86,2,12,10,7
86,3,6,10,9
86,4,14,10,14
86,5,12,10,13
86,6,13,10,13
86,7,9,10,13
86,8,3,10,14
87,1,1,10,14
87,2,9,0,12
87,3,14,0,8
87,4,6,0,7
87,5,4,0,6
87,6,3,0,8
87,7,3,0,9
87,8,3,0,14
88,1,1,0,14
88,2,7,10,14
88,3,12,10,10
88,4,1,0,13
88,5,8,10,12
88,6,7,10,14
88,7,12,10,11
88,8,1,0,11
89,1,10,0,13
89,2,7,10,14
89,3,7,10,13
89,4,12,10,9
89,5,3,10,11
89,6,6,10,9
89,7,7,10,8
89,8,1,10,11
90,1,10,10,13
90,2,1,10,13
90,3,11,0,11
90,4,10,10,12
90,5,2,10,14
90,6,7,0,14
90,7,4,10,14
90,8,3,0,14
91,1,1,0,14
91,2,9,10,12
91,3,7,10,13
91,4,7,10,10
91,5,12,10,13
91,6,7,10,14
91,7,12,10,11
91,8,3,0,14
92,1,11,10,11
92,2,7,10,14
92,3,1,0,14
92,4,14,10,14
92,5,2,10,14
92,6,7,10,14
92,7,4,0,14
92,8,12,10,12
93,1,10,0,13
93,2,7,10,14
93,3,1,10,14
93,4,1,10,13
93,5,12,0,13
93,6,8,10,12
93,7,9,10,13
93,8,1,10,11
94,1,4,0,5
94,2,2,10,11
94,3,1,10,14
94,4,10,10,12
94,5,2,10,14
94,6,8,10,12
94,7,13,10,4
94,8,1,10,11
95,1,10,10,13
95,2,7,10,14
95,3,1,0,14
95,4,7,10,10
95,5,13,10,7
95,6,13,10,13
95,7,12,10,11
95,8,10,10,13
96,1,10,10,13
96,2,7,0,14
96,3,13,10,12
96,4,10,10,12
96,5,13,10,7
96,6,4,0,10
96,7,6,0,1
96,8,3,10,14
97,1,3,10,12
97,2,1,0,13
97,3,6,10,9
97,4,14,0,14
97,5,3,10,11
97,6,13,10,13
97,7,4,0,14
97,8,10,0,13
98,1,3,10,12
98,2,9,0,12
98,3,1,0,14
98,4,7,10,10
98,5,2,10,14
98,6,13,0,13
98,7,4,10,14
98,8,1,0,11
99,1,6,0,8
99,2,7,10,14
99,3,1,10,14
99,4,1,10,13
99,5,12,10,13
99,6,7,10,14
99,7,9,10,13
99,8,12,10,12
100,1,7,10,9
100,2,7,10,14
100,3,2,10,2
100,4,7,10,10
100,5,2,10,14
100,6,7,10,14
100,7,12,0,11
100,8,12,0,12
101,1,11,10,11
101,2,12,10,7
101,3,1,10,14
101,4,10,0,12
101,5,12,10,13
101,6,1,10,11
101,7,8,0,10
101,8,3,0,14
102,1,1,10,14
102,2,9,0,12
102,3,1,10,14
102,4,14,0,14
102,5,8,0,12
102,6,7,0,14
102,7,12,0,11
102,8,3,10,14
103,1,7,0,9
103,2,7,0,14
103,3,6,10,9
103,4,13,0,11
103,5,12,10,13
103,6,2,10,7
103,7,7,0,8
103,8,10,0,13
104,1,1,10,14
104,2,7,10,14
104,3,6,10,9
104,4,13,0,11
104,5,1,10,9
104,6,7,10,14
104,7,7,10,8
104,8,12,0,12
105,1,10,0,13
105,2,1,10,13
105,3,1,10,14
105,4,11,0,8
105,5,8,10,12
105,6,13,10,13
105,7,4,10,14
105,8,2,0,8
106,1,12,10,6
106,2,1,10,13
106,3,1,10,14
106,4,1,10,13
106,5,3,10,11
106,6,1,10,11
106,7,4,10,14
106,8,10,0,13
107,1,3,0,12
107,2,1,0,13
107,3,11,10,11
107,4,2,10,6
107,5,12,0,13
107,6,8,10,12
107,7,5,10,12
107,8,3,0,14
108,1,3,10,12
108,2,3,10,8
108,3,7,10,13
108,4,6,10,7
108,5,6,10,10
108,6,12,10,5
108,7,4,10,14
108,8,3,10,14
109,1,3,0,12
109,2,9,10,12
109,3,6,10,9
109,4,10,0,12
109,5,8,0,12
109,6,12,0,5
109,7,5,0,12
109,8,2,0,8
110,1,11,10,11
110,2,9,10,12
110,3,12,0,10
110,4,11,10,8
110,5,2,10,14
110,6,7,10,14
110,7,9,10,13
110,8,12,0,12
111,1,10,0,13
111,2,9,0,12
111,3,1,10,14
111,4,10,0,12
111,5,2,0,14
111,6,13,10,13
111,7,4,10,14
111,8,14,10,2
112,1,1,10,14
112,2,1,10,13
112,3,7,10,13
112,4,14,10,14
112,5,8,0,12
112,6,1,10,11
112,7,5,0,12
112,8,1,10,11
113,1,7,0,9
113,2,3,10,8
113,3,11,10,11
113,4,1,0,13
113,5,3,10,11
113,6,8,10,12
113,7,9,10,13
113,8,1,0,11
114,1,6,0,8
114,2,14,10,9
114,3,11,0,11
114,4,13,0,11
114,5,2,0,14
114,6,1,10,11
114,7,5,10,12
114,8,8,10,9
115,1,1,10,14
115,2,3,0,8
115,3,11,10,11
115,4,10,0,12
115,5,14,10,8
115,6,4,10,10
115,7,11,10,7
115,8,5,0,6
116,1,1,10,14
116,2,14,10,9
116,3,7,0,13
116,4,13,10,11
116,5,12,10,13
116,6,7,0,14
116,7,9,0,13
116,8,3,10,14
117,1,10,10,13
117,2,7,10,14
117,3,7,10,13
117,4,13,10,11
117,5,2,0,14
117,6,7,10,14
117,7,9,10,13
117,8,8,0,9
118,1,1,10,14
118,2,2,10,11
118,3,5,10,4
118,4,1,10,13
118,5,12,10,13
118,6,1,10,11
118,7,9,10,13
118,8,3,0,14
119,1,13,10,7
119,2,14,10,9
119,3,11,10,11
119,4,14,10,14
119,5,3,10,11
119,6,8,10,12
119,7,9,10,13
119,8,7,0,7
120,1,7,0,9
120,2,7,0,14
120,3,12,10,10
120,4,10,0,12
120,5,12,10,13
120,6,8,0,12
120,7,5,10,12
120,8,4,10,5
