Subj,Trial,OptionID,Choice,MFval,MBval,nPrevChosen
2,4,14,0,6,11,1
2,4,15,0,3,23,0
2,4,16,0,3,24,0
2,4,17,0,2,13,0
2,4,18,0,2,11,0
2,4,19,0,6,3,0
2,4,20,0,3,2,0
2,4,21,0,3,5,0
2,4,22,0,7,20,0
2,4,23,0,5,17,0
2,4,24,0,5,5,0
2,4,25,0,5,13,0
2,4,26,0,6,5,1
2,4,27,0,4,5,0
2,4,28,0,4,11,0
2,4,29,0,1,8,0
2,4,30,0,5,8,0
2,4,31,0,2,12,0
2,4,32,0,4,21,0
2,4,33,0,3,14,0
2,5,1,0,5,4,0
2,5,2,0,5,19,0
2,5,3,0,2,20,0
2,5,4,0,2,8,0
2,5,5,0,4,6,0
2,5,6,0,5,18,0
2,5,7,0,6,14,0
2,5,8,0,4,8,0
2,5,9,0,6,18,0
2,5,10,0,5,9,0
2,5,11,0,4,4,0
2,5,12,0,6,12,1
2,5,13,0,7,11,1
2,5,14,0,6,10,1
2,5,15,0,3,15,0
2,5,16,0,3,8,0
2,5,17,0,2,16,0
2,5,18,0,2,13,0
2,5,19,0,6,8,0
2,5,20,1,3,7,0
2,5,21,0,3,24,0
2,5,22,0,7,10,0
2,5,23,0,5,12,0
2,5,24,0,5,15,0
2,5,25,0,5,15,0
2,5,26,0,6,13,1
2,5,27,0,4,3,0
2,5,28,0,4,16,0
2,5,29,0,1,14,0
2,5,30,0,5,10,0
2,5,31,0,2,15,0
2,5,32,0,4,14,0
2,5,33,0,3,4,0
2,6,1,0,5,7,0
2,6,2,0,5,2,0
2,6,3,0,2,13,0
2,6,4,0,2,3,0
2,6,5,0,4,6,0
2,6,6,0,5,4,0
2,6,7,0,6,9,0
2,6,8,0,4,4,0
2,6,9,0,6,8,0
2,6,10,0,5,6,0
2,6,11,0,4,16,0
2,6,12,0,6,11,1
2,6,13,0,7,9,1
2,6,14,0,6,26,1
2,6,15,0,3,9,0
2,6,16,0,3,11,0
2,6,17,0,2,19,0
2,6,18,1,2,8,0
2,6,19,0,6,16,0
2,6,20,0,3,7,1
2,6,21,0,3,22,0
2,6,22,0,7,12,0
2,6,23,0,5,15,0
2,6,24,0,5,14,0
2,6,25,0,5,13,0
2,6,26,0,6,9,1
2,6,27,0,4,11,0
2,6,28,0,4,16,0
2,6,29,0,1,13,0
2,6,30,0,5,8,0
2,6,31,0,2,3,0
2,6,32,0,4,10,0
2,6,33,0,3,12,0
2,7,1,0,5,24,0
2,7,2,0,5,21,0
2,7,3,0,2,4,0
2,7,4,0,2,4,0
2,7,5,0,4,6,0
2,7,6,0,5,13,0
2,7,7,0,6,13,0
2,7,8,0,4,21,0
2,7,9,0,6,13,0
2,7,10,1,5,15,0
2,7,11,0,4,16,0
2,7,12,0,6,0,1
2,7,13,0,7,13,1
2,7,14,0,6,6,1
2,7,15,0,3,9,0
2,7,16,0,3,13,0
2,7,17,0,2,9,0
2,7,18,0,2,20,1
2,7,19,0,6,12,0
2,7,20,0,3,2,1
2,7,21,0,3,18,0
2,7,22,0,7,11,0
2,7,23,0,5,11,0
2,7,24,0,5,13,0
2,7,25,0,5,9,0
2,7,26,0,6,1,1
2,7,27,0,4,24,0
2,7,28,0,4,13,0
2,7,29,0,1,7,0
2,7,30,0,5,2,0
2,7,31,0,2,2,0
2,7,32,0,4,22,0
2,7,33,0,3,16,0
2,8,1,1,5,9,0
2,8,2,0,5,12,0
2,8,3,0,2,13,0
2,8,4,0,2,9,0
2,8,5,0,4,5,0
2,8,6,0,5,5,0
2,8,7,0,6,15,0
2,8,8,0,4,16,0
2,8,9,0,6,12,0
2,8,10,0,5,15,1
2,8,11,0,4,16,0
2,8,12,0,6,9,1
2,8,13,0,7,12,1
2,8,14,0,6,6,1
2,8,15,0,3,16,0
2,8,16,0,3,12,0
2,8,17,0,2,3,0
2,8,18,0,2,22,1
2,8,19,0,6,3,0
2,8,20,0,3,7,1
2,8,21,0,3,18,0
2,8,22,0,7,4,0
2,8,23,0,5,12,0
2,8,24,0,5,22,0
2,8,25,0,5,8,0
2,8,26,0,6,8,1
2,8,27,0,4,6,0
2,8,28,0,4,4,0
2,8,29,0,1,16,0
2,8,30,0,5,6,0
2,8,31,0,2,7,0
2,8,32,0,4,11,0
2,8,33,0,3,7,0
2,9,1,0,5,4,1
2,9,2,0,5,9,0
2,9,3,0,2,17,0
2,9,4,0,2,2,0
2,9,5,0,4,13,0
2,9,6,0,5,10,0
2,9,7,0,6,11,0
2,9,8,0,4,2,0
2,9,9,0,6,9,0
2,9,10,0,5,14,1
2,9,11,0,4,11,0
2,9,12,0,6,17,1
2,9,13,0,7,9,1
