Subj,Trial,OptionID,Choice,MFval,MBval,Choice2
4,4,9,0,1,2,0
4,4,10,0,1,12,0
4,4,11,0,1,8,0
4,4,12,0,0,9,0
4,4,13,0,0,11,0
4,4,14,1,1,14,0
4,5,1,0,1,9,13
4,5,2,0,0,14,0
4,5,3,0,0,11,0
4,5,4,0,0,6,0
4,5,5,0,0,2,0
4,5,6,0,0,10,0
4,5,7,0,1,4,0
4,5,8,0,1,12,0
4,5,9,0,1,1,0
4,5,10,0,1,3,0
4,5,11,0,1,5,0
4,5,12,0,0,13,0
4,5,13,1,0,7,0
4,5,14,0,1,8,0
4,6,1,0,1,11,8
4,6,2,0,0,7,0
4,6,3,0,0,8,0
4,6,4,0,0,10,0
4,6,5,0,0,3,0
4,6,6,0,0,9,0
4,6,7,0,1,14,0
4,6,8,1,1,12,0
4,6,9,0,1,1,0
4,6,10,0,1,6,0
4,6,11,0,1,2,0
4,6,12,0,0,5,0
4,6,13,0,0,13,0
4,6,14,0,1,4,0
4,7,1,0,1,3,4
4,7,2,0,0,2,0
4,7,3,0,0,9,0
4,7,4,1,0,14,0
4,7,5,0,0,12,0
4,7,6,0,0,1,0
4,7,7,0,1,8,0
4,7,8,0,1,10,0
4,7,9,0,1,13,0
4,7,10,0,1,5,0
4,7,11,0,1,7,0
4,7,12,0,0,11,0
4,7,13,0,0,4,0
4,7,14,0,1,6,0
4,8,1,1,1,11,1
4,8,2,0,0,8,0
4,8,3,0,0,14,0
4,8,4,0,0,5,0
4,8,5,0,0,6,0
4,8,6,0,0,4,0
4,8,7,0,1,7,0
4,8,8,0,1,9,0
4,8,9,0,1,1,0
4,8,10,0,1,13,0
4,8,11,0,1,3,0
4,8,12,0,0,12,0
4,8,13,0,0,10,0
4,8,14,0,1,2,0
5,1,1,0,0,14,3
5,1,2,0,0,3,0
5,1,3,1,1,12,0
5,1,4,0,0,5,0
5,1,5,0,0,2,0
5,1,6,0,0,8,0
5,1,7,0,1,9,0
5,1,8,0,1,10,0
5,1,9,0,1,4,0
5,1,10,0,1,13,0
5,1,11,0,1,11,0
5,1,12,0,0,6,0
5,1,13,0,0,7,0
5,1,14,0,1,1,0
5,2,1,0,0,13,10
5,2,2,0,0,11,0
5,2,3,0,1,8,0
5,2,4,0,0,4,0
5,2,5,0,0,1,0
5,2,6,0,0,3,0
5,2,7,0,1,14,0
5,2,8,0,1,5,0
5,2,9,0,1,12,0
5,2,10,1,1,10,0
5,2,11,0,1,6,0
5,2,12,0,0,7,0
5,2,13,0,0,2,0
5,2,14,0,1,9,0
5,3,1,0,0,14,12
5,3,2,0,0,2,0
5,3,3,0,1,3,0
